agents,ok,ko,combined mean,catalog mean,filemeta plugins mean,filemeta pluginfacts mean,locales mean,node mean,report mean,average CPU %,average memory
1200,1200,0,11583,5469,884,739,835,1857,1799,48,3528861
1300,1300,0,10232,5133,946,618,751,1330,1454,52,3522912
1400,1400,0,12953,5501,1513,913,1221,1850,1954,55,3498953
1500,1500,0,23996,8096,2289,2399,2449,4318,4444,60,3503464
1600,1599,1,51602,14206,4867,5856,5739,10373,10567,68,3518186
1700,1698,2,74906,17548,9855,9718,9976,13864,13954,72,3518312
1800,1790,10,152759,30994,23134,22060,22826,26601,27467,72,3533411
1900,1736,164,134818,29791,17647,18088,18234,26773,28196,72,3533043
